src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes
172.217.19.142,192.168.0.116,443,57738,6,13,9219
142.250.75.145,192.168.0.116,443,38505,17,13,6690
185.89.87.83,192.168.0.116,443,34526,6,2,132
142.250.75.196,192.168.0.116,443,59178,6,354,388577
35.186.224.24,192.168.0.116,443,36998,6,2,132
35.186.224.22,192.168.0.116,443,47984,17,7,3591
142.250.75.130,192.168.0.116,443,45540,6,11,2685
35.186.224.40,192.168.0.116,443,48206,6,6,468
142.250.75.106,192.168.0.116,443,47714,6,17,4231
34.120.208.123,192.168.0.116,443,40788,6,12,2405
35.186.224.24,192.168.0.116,443,37006,6,2,132
185.89.87.114,192.168.0.116,443,58072,6,2,132
172.217.19.142,192.168.0.116,443,57722,6,28,12248
34.36.137.203,192.168.0.116,443,34120,6,1,105
104.199.241.202,192.168.0.116,4070,47662,6,2,154
142.250.75.67,192.168.0.116,443,36150,6,12,6669
142.250.75.195,192.168.0.116,443,53732,6,1,74
142.250.75.195,192.168.0.116,443,53748,6,58,58699
185.89.87.104,192.168.0.116,443,39010,6,1,66
142.250.75.67,192.168.0.116,443,36134,6,12,6670
35.186.224.22,192.168.0.116,443,32844,6,2,132
142.250.75.142,192.168.0.116,443,37874,6,10,2619
142.250.75.195,192.168.0.116,443,53710,6,1,74
142.250.75.195,192.168.0.116,443,53758,6,10,2619
20.189.173.18,192.168.0.116,443,50362,6,2,132
142.250.75.67,192.168.0.116,443,51196,6,28,20011
142.250.75.142,192.168.0.116,443,56246,17,59,60942
35.186.224.40,192.168.0.116,443,52726,6,4,344
142.250.75.74,192.168.0.116,443,35084,6,33,29185
162.159.61.4,192.168.0.116,443,42768,6,472,150685
142.250.75.145,192.168.0.116,443,48208,6,10,2619
74.125.71.84,192.168.0.116,443,56948,6,32,10504
142.250.75.46,192.168.0.116,443,41712,6,103,96071
142.250.75.166,192.168.0.116,443,45380,6,14,6500
142.250.75.196,192.168.0.116,443,59166,6,1,74
142.250.75.174,192.168.0.116,443,41714,6,35,12680
142.250.75.110,192.168.0.116,443,39510,6,45,32005
142.250.75.195,192.168.0.116,443,53698,6,1,74
142.250.75.142,192.168.0.116,443,37862,6,14,9284
142.250.75.110,192.168.0.116,443,39518,6,14,9285
142.250.75.130,192.168.0.116,443,54666,17,13,5870
35.186.224.24,192.168.0.116,443,37024,6,2,132
142.250.75.33,192.168.0.116,443,39124,6,54,35604
34.120.237.76,192.168.0.116,443,48886,6,12,2037
35.186.224.24,192.168.0.116,443,37010,6,2,132
142.250.75.130,192.168.0.116,443,45524,6,22,7558
142.250.75.33,192.168.0.116,443,47940,6,15,11961
142.250.75.195,192.168.0.116,443,53716,6,1,74
142.251.37.42,192.168.0.116,443,59538,6,11,6963
142.251.37.42,192.168.0.116,443,59524,6,66,59451
142.250.75.130,192.168.0.116,443,45516,6,10,2619
34.110.138.217,192.168.0.116,443,48488,6,1,105
142.250.75.67,192.168.0.116,443,36162,6,90,112288
